query_id,query,company_filter,chunk_id,relevance_score,is_relevant,chunk_preview
4,What supply chain disruptions or single-source supplier dependencies does the company face?,AMZN,AMZN_2025_item1a_0013,0.001,0,"and other countries and any retaliatory actions), and similar events; and  • potential negative impacts of climate change, including: increased operating costs "
4,What supply chain disruptions or single-source supplier dependencies does the company face?,AMZN,AMZN_2025_item1a_0021,0.0,0,"companies we acquire the controls, procedures, and policies appropriate for a larger public company; • the risks associated with businesses we acquire or invest"
5,What supply chain disruptions or single-source supplier dependencies does the company face?,AMD,AMD_2025_item1a_0058,0.431,1,"in turn could have negative impacts on the global economy and financial markets. Also, in addition to restrictions imposed by the United States or China on expo"
5,What supply chain disruptions or single-source supplier dependencies does the company face?,AMD,AMD_2025_item1a_0015,0.268,1,"payments, or reduce or eliminate deliveries to us, which could have a material adverse effect on our business. If we overestimate our customer demand or experie"
5,What supply chain disruptions or single-source supplier dependencies does the company face?,AMD,AMD_2025_item1a_0032,0.136,0,"required), we may not fully eliminate these risks. Table of Conten t s Climate change may have an impact on our business. Climate change may adversely affect ou"
5,What supply chain disruptions or single-source supplier dependencies does the company face?,AMD,AMD_2025_item1a_0059,0.136,1,"as those of our customers and suppliers. Public health measures by government authorities may cause us to incur additional costs, limit our operations, modify o"
5,What supply chain disruptions or single-source supplier dependencies does the company face?,AMD,AMD_2025_item1a_0030,0.091,1,"If we fail to maintain the efficiency of our supply chain as we respond to changes in customer demand for our products, our business could be materially adverse"
5,What supply chain disruptions or single-source supplier dependencies does the company face?,AMD,AMD_2025_item1a_0011,0.032,1,"suppliers may reduce their output or become insolvent, thereby adversely impacting our ability to manufacture our products. Adverse changes in economic conditio"
5,What supply chain disruptions or single-source supplier dependencies does the company face?,AMD,AMD_2025_item1a_0002,0.031,1,related to defective products could have a material adverse effect on us. • We may fail to maintain the efficiency of our supply chain as we respond to changes 
5,What supply chain disruptions or single-source supplier dependencies does the company face?,AMD,AMD_2025_item1a_0010,0.03,0,unanticipated quality or production issues that could result in product delays. Table of Conten t s The loss of a significant customer may have a material adver
6,What government regulations or compliance requirements pose risks to the company?,AAPL,AAPL_2025_item1a_0026,0.998,1,by governmental authorities regarding the Company's compliance with these obligations. If the Company fails to adequately comply with these rules and requiremen
6,What government regulations or compliance requirements pose risks to the company?,AAPL,AAPL_2025_item1a_0022,0.971,1,"with evolving, varied and at times conflicting federal, state and international laws, executive orders, regulations and standards, or any failure or perceived f"
6,What government regulations or compliance requirements pose risks to the company?,AAPL,AAPL_2025_item1a_0018,0.969,1,"additional risks, including failing to obtain required regulatory approvals on a timely basis or at all, a counterparty's failure to perform or deliver as antic"
6,What government regulations or compliance requirements pose risks to the company?,AAPL,AAPL_2025_item1a_0025,0.962,1,"number of federal, state and international laws relating to the collection, use, retention, protection and transfer of various types of personal data. In many c"
6,What government regulations or compliance requirements pose risks to the company?,AAPL,AAPL_2025_item1a_0023,0.948,1,"Commission. Although the Company's compliance plan is intended to address the DMA's obligations, it has been challenged by the Commission and may be challenged "
6,What government regulations or compliance requirements pose risks to the company?,AAPL,AAPL_2025_item1a_0021,0.892,1,"condition and stock price. Risks and costs related to new and changing laws, regulations, executive orders, directives, and enforcement priorities increase as t"
6,What government regulations or compliance requirements pose risks to the company?,AAPL,AAPL_2025_item1a_0020,0.849,1,"Company's business, reputation, results of operations, financial condition and stock price. While the Company maintains insurance coverage for certain types of "
6,What government regulations or compliance requirements pose risks to the company?,AAPL,AAPL_2025_item1a_0011,0.287,0,"'s forecasted component and manufacturing requirements, typically for periods up to 150 days. Because the Company's markets are volatile, competitive and subjec"
7,What government regulations or compliance requirements pose risks to the company?,TSLA,TSLA_2025_item1a_0024,0.384,1,"affected by any disruptions caused by union activities. It is not uncommon for employees of certain trades at companies such as ours to belong to a union, which"
7,What government regulations or compliance requirements pose risks to the company?,TSLA,TSLA_2025_item1a_0022,0.374,0,"is limited, and, in any event, malicious third parties may be able to circumvent those security measures. Further, the implementation, maintenance, segregation "
7,What government regulations or compliance requirements pose risks to the company?,TSLA,TSLA_2025_item1a_0034,0.371,1,"terminations of such incentives may harm our business, prospects, financial condition and operating results by making our products less competitive for customer"
7,What government regulations or compliance requirements pose risks to the company?,TSLA,TSLA_2025_item1a_0012,0.368,0,"-effectively or hire and retain highly-skilled personnel there, our ability to manufacture our products profitably would be limited, which may harm our business"
7,What government regulations or compliance requirements pose risks to the company?,TSLA,TSLA_2025_item1a_0037,0.273,1,"of personal information collected from individuals located in the European Union requiring certain data protection measures when handling, with a significant ri"
7,What government regulations or compliance requirements pose risks to the company?,TSLA,TSLA_2025_item1a_0035,0.165,1,"performance of our products both domestically and abroad. For example, in countries outside of the U.S., we are required to meet standards relating to vehicle s"
7,What government regulations or compliance requirements pose risks to the company?,TSLA,TSLA_2025_item1a_0036,0.142,1,"supplier of electricity generated and stored by certain of the energy generation and storage systems we install for customers, and a provider of grid services t"
7,What government regulations or compliance requirements pose risks to the company?,TSLA,TSLA_2025_item1a_0038,0.088,1,of sensitive data or other commercially unfavorable terms. Notwithstanding our efforts to protect the security and integrity of our customers' personal informat
8,What government regulations or compliance requirements pose risks to the company?,NVDA,NVDA_2025_item1a_0036,0.968,1,"our expectations or the expectations of our investors or security analysts is likely to cause our stock price to decline, as it has in the past, or substantial "
8,What government regulations or compliance requirements pose risks to the company?,NVDA,NVDA_2025_item1a_0037,0.684,1,"criminal sanctions against us, our officers, or our employees, prohibitions on the conduct of our business, and damage to our reputation. Changes to the laws, r"
8,What government regulations or compliance requirements pose risks to the company?,NVDA,NVDA_2025_item1a_0023,0.663,1,government regulations. While we invest in training programs and security awareness initiatives and take steps to detect and remediate certain vulnerabilities t
8,What government regulations or compliance requirements pose risks to the company?,NVDA,NVDA_2025_item1a_0052,0.592,1,"to do business with us. Certain shareholder advocacy groups, investment funds, shareholders and other market participants, customers and government regulators h"
8,What government regulations or compliance requirements pose risks to the company?,NVDA,NVDA_2025_item1a_0053,0.582,1,", privacy, employment or other social, economic or political issues, or if we are unable to implement effective internal policies and frameworks relating to the"
8,What government regulations or compliance requirements pose risks to the company?,NVDA,NVDA_2025_item1a_0003,0.335,1,"and liability. • Our operating results may be adversely impacted by additional tax liabilities, higher than expected tax rates, changes in tax laws, and other t"
8,What government regulations or compliance requirements pose risks to the company?,NVDA,NVDA_2025_item1a_0030,0.202,1,"in realizing a satisfactory return and uncertainties to realize the benefits of an acquisition or strategic investment, if at all; difficulty or inability in ob"
8,What government regulations or compliance requirements pose risks to the company?,NVDA,NVDA_2025_item1a_0028,0.181,1,"raw materials used in manufacturing processes, increased capital expenditures to improve facilities and equipment, higher compliance and energy costs to reduce "
9,What government regulations or compliance requirements pose risks to the company?,AMZN,AMZN_2025_item1a_0027,0.673,1,"interpretation of which continues to evolve, leading to uncertainty about how regulators will view our privacy practices. In addition, regulators and lawmakers "
9,What government regulations or compliance requirements pose risks to the company?,AMZN,AMZN_2025_item1a_0003,0.376,0,"ks Our international activities are significant to our revenues and profits, and we plan to further expand internationally. In certain international market segm"
9,What government regulations or compliance requirements pose risks to the company?,AMZN,AMZN_2025_item1a_0024,0.361,1,", bonding and capital maintenance, the use, handling, and segregation of transferred funds, consumer disclosures, maintaining or processing data, and authentica"
9,What government regulations or compliance requirements pose risks to the company?,AMZN,AMZN_2025_item1a_0023,0.254,1,", direct debit from a customer's bank account, consumer invoicing, checks, and payment upon delivery. For existing and future payment options we offer to our cu"
9,What government regulations or compliance requirements pose risks to the company?,AMZN,AMZN_2025_item1a_0013,0.145,0,"and other countries and any retaliatory actions), and similar events; and  • potential negative impacts of climate change, including: increased operating costs "
9,What government regulations or compliance requirements pose risks to the company?,AMZN,AMZN_2025_item1a_0005,0.144,1,"and operations in country through regulations and license requirements that may restrict (i) foreign investment in and operation of the internet, IT infrastruct"
9,What government regulations or compliance requirements pose risks to the company?,AMZN,AMZN_2025_item1a_0025,0.12,0,quarterly variations in operating results; • fluctuations in the stock market in general and market prices for technology-related companies in particular; • cha
9,What government regulations or compliance requirements pose risks to the company?,AMZN,AMZN_2025_item1a_0026,0.046,1,"web services, the provision of online payment services, registration, licensing, and information reporting requirements, insurance, unencumbered internet access"
10,What government regulations or compliance requirements pose risks to the company?,AMD,AMD_2025_item1a_0047,0.889,1,"governments have enacted laws around PII, such as the GDPR and the CCPA, and the failure to comply could result in sanctions or other actions by the governments"
10,What government regulations or compliance requirements pose risks to the company?,AMD,AMD_2025_item1a_0048,0.867,1,to various new and proposed climate-related and sustainability laws and requirements that may impact how we and our suppliers and customers conduct and report o
10,What government regulations or compliance requirements pose risks to the company?,AMD,AMD_2025_item1a_0046,0.71,1,materially adversely affect us. We incur costs associated with complying with conflict minerals reporting requirements to our customers and the SEC. In addition
10,What government regulations or compliance requirements pose risks to the company?,AMD,AMD_2025_item1a_0033,0.689,1,", which could materially harm our results of operations and financial condition. Our business and the business of our suppliers and customers may also be subjec"
10,What government regulations or compliance requirements pose risks to the company?,AMD,AMD_2025_item1a_0002,0.645,0,related to defective products could have a material adverse effect on us. • We may fail to maintain the efficiency of our supply chain as we respond to changes 
10,What government regulations or compliance requirements pose risks to the company?,AMD,AMD_2025_item1a_0038,0.557,1,"ability to provide services or develop products in the United States. Continued changes to export control regulations that we are subject to, or changes to thei"
10,What government regulations or compliance requirements pose risks to the company?,AMD,AMD_2025_item1a_0039,0.409,1,by one or more entities on the Entity List will be subject to Entity List restrictions and this rule similarly applies to entities at least 50% owned by listed 
10,What government regulations or compliance requirements pose risks to the company?,AMD,AMD_2025_item1a_0057,0.148,0,"is performed at third-party operated manufacturing facilities, in China, Malaysia and Taiwan. Our shipping services are provided by third-party subcontractors. "
11,How does competition threaten the company's market share?,AAPL,AAPL_2025_item1a_0006,0.919,1,"intellectual property, the Company's ability to maintain a competitive advantage could be materially adversely affected. The Company's products and services fac"
11,How does competition threaten the company's market share?,AAPL,AAPL_2025_item1a_0005,0.698,1,"pressure on gross margins, continual improvement in product performance, and price sensitivity on the part of consumers and businesses. These markets are furthe"
11,How does competition threaten the company's market share?,AAPL,AAPL_2025_item1a_0004,0.364,0,"'s costs, and negatively impact consumer spending and demand in affected areas. The Company's operations are also subject to the risks of industrial accidents a"
11,How does competition threaten the company's market share?,AAPL,AAPL_2025_item1a_0014,0.249,0,"for their talents is intense, especially in Silicon Valley, where most of the Company's key personnel are located. Periods of intense competition for talent in "
11,How does competition threaten the company's market share?,AAPL,AAPL_2025_item1a_0022,0.179,0,"with evolving, varied and at times conflicting federal, state and international laws, executive orders, regulations and standards, or any failure or perceived f"
11,How does competition threaten the company's market share?,AAPL,AAPL_2025_item1a_0011,0.178,0,"'s forecasted component and manufacturing requirements, typically for periods up to 150 days. Because the Company's markets are volatile, competitive and subjec"
11,How does competition threaten the company's market share?,AAPL,AAPL_2025_item1a_0013,0.168,0,"operate incorrectly, and can result in dissatisfied customers and lower customer demand for the Company's products. Failure to obtain or create digital content "
11,How does competition threaten the company's market share?,AAPL,AAPL_2025_item1a_0002,0.069,0,"of the Company's manufacturing is performed in whole or in part by outsourcing partners located primarily in China mainland, India, Japan, South Korea, Taiwan a"
12,How does competition threaten the company's market share?,TSLA,TSLA_2025_item1a_0010,0.441,1,"incentives which provide benefits to manufacturers who assemble domestically or have local suppliers, may provide a greater benefit to our competitors, which co"
12,How does competition threaten the company's market share?,TSLA,TSLA_2025_item1a_0009,0.013,0,"or their sustained impact on consumer demand. Ultimately, we continue to monitor macroeconomic conditions to remain flexible and to optimize and evolve our busi"
12,How does competition threaten the company's market share?,TSLA,TSLA_2025_item1a_0019,0.007,0,"our planned high-volume product sales, market and geographical expansion and technological innovations. If we are not successful in managing these risks, our bu"
12,How does competition threaten the company's market share?,TSLA,TSLA_2025_item1a_0008,0.006,0,"timelines or our cost and quality needs, which may require us to replace them with other sources. Any reduced availability of these materials may impact our acc"
12,How does competition threaten the company's market share?,TSLA,TSLA_2025_item1a_0040,0.005,0,large proportion of our common stock has been historically and may in the future be traded by short sellers which may put pressure on the supply and demand for 
12,How does competition threaten the company's market share?,TSLA,TSLA_2025_item1a_0016,0.003,0,"require us to defend it, all of which may generate negative publicity and be expensive and time-consuming. In most jurisdictions, we generally self-insure again"
12,How does competition threaten the company's market share?,TSLA,TSLA_2025_item1a_0042,0.001,0,"demand, resulting in our failure to invest in or pursue another opportunity that generates significant financial returns or leads to greater shareholder value. "
12,How does competition threaten the company's market share?,TSLA,TSLA_2025_item1a_0039,0.001,0,"persist. In certain locations, decisions by regulators permitting us to sell vehicles have been, and may be, challenged by dealer associations and others as to "
13,How does competition threaten the company's market share?,NVDA,NVDA_2025_item1a_0001,0.869,1,• Failure to meet the evolving needs of our industry and markets may adversely impact our financial results. • Competition could adversely impact our market sha
13,How does competition threaten the company's market share?,NVDA,NVDA_2025_item1a_0000,0.335,0,Item 1A. Risk Factors The following risk factors should be considered in addition to the other information in this Annual Report on Form 10-K. The following ris
13,How does competition threaten the company's market share?,NVDA,NVDA_2025_item1a_0006,0.264,1,"operating histories, larger customer bases, more comprehensive IP portfolios and patent protections, more design wins, and greater financial, sales, marketing a"
13,How does competition threaten the company's market share?,NVDA,NVDA_2025_item1a_0005,0.101,1,"expanding and changing product and service offerings, industry standards, customer and market needs, new entrants and consolidations. Our competitors' products,"
13,How does competition threaten the company's market share?,NVDA,NVDA_2025_item1a_0037,0.063,0,"criminal sanctions against us, our officers, or our employees, prohibitions on the conduct of our business, and damage to our reputation. Changes to the laws, r"
13,How does competition threaten the company's market share?,NVDA,NVDA_2025_item1a_0004,0.015,0,"we fail to develop or monetize new products and technologies, or if they do not become widely adopted, our financial results could be adversely affected. Obtain"
13,How does competition threaten the company's market share?,NVDA,NVDA_2025_item1a_0036,0.008,0,"our expectations or the expectations of our investors or security analysts is likely to cause our stock price to decline, as it has in the past, or substantial "
13,How does competition threaten the company's market share?,NVDA,NVDA_2025_item1a_0018,0.005,0,"and geopolitical developments, including the implementation of tariffs by the USG or other governments, have in the past and/or could in the future have adverse"
14,How does competition threaten the company's market share?,AMZN,AMZN_2025_item1a_0001,0.723,1,"Industry Risks We Face Intense Competition Our businesses are rapidly evolving and intensely competitive, and we have many competitors across geographies, inclu"
14,How does competition threaten the company's market share?,AMZN,AMZN_2025_item1a_0027,0.005,0,"interpretation of which continues to evolve, leading to uncertainty about how regulators will view our privacy practices. In addition, regulators and lawmakers "
14,How does competition threaten the company's market share?,AMZN,AMZN_2025_item1a_0006,0.0,0,". In addition, because China-based sellers account for significant portions of our third-party seller services and advertising revenues, and China-based supplie"
14,How does competition threaten the company's market share?,AMZN,AMZN_2025_item1a_0022,0.0,0,", contingent liabilities, or amortization expenses related to intangible assets, any of which could reduce our profitability and harm our business or only be av"
14,How does competition threaten the company's market share?,AMZN,AMZN_2025_item1a_0026,0.0,0,"web services, the provision of online payment services, registration, licensing, and information reporting requirements, insurance, unencumbered internet access"
15,How does competition threaten the company's market share?,AMD,AMD_2025_item1a_0004,0.441,1,may encounter competition from customers who internally develop products to support similar AI workloads to those supported by ours. Our competitors may use the
15,How does competition threaten the company's market share?,AMD,AMD_2025_item1a_0003,0.411,0,". General Risks • Our worldwide operations are subject to political, legal and economic risks and natural disasters. • We may incur future impairments of our te"
15,How does competition threaten the company's market share?,AMD,AMD_2025_item1a_0009,0.019,0,"their computer systems or products, they are typically excluded until at least the next design cycle. The process of being qualified for inclusion in a customer"
15,How does competition threaten the company's market share?,AMD,AMD_2025_item1a_0060,0.012,0,". Factors such as the life of the assets, changes in competing technologies, and changes to the business strategy may represent an indicator of impairment. The "
15,How does competition threaten the company's market share?,AMD,AMD_2025_item1a_0061,0.008,0,", or interpretation of new or existing laws. United States immigration controls could affect the employment status of key technical and professional employees, "
15,How does competition threaten the company's market share?,AMD,AMD_2025_item1a_0012,0.006,0,"financial condition. In addition, our operating results tend to vary seasonally with the markets in which our products are sold. For example, historically, our "
15,How does competition threaten the company's market share?,AMD,AMD_2025_item1a_0031,0.002,0,"which case we would have to transition these functions in-house or secure new providers, which could have a material adverse effect on our business if the trans"
15,How does competition threaten the company's market share?,AMD,AMD_2025_item1a_0027,0.002,0,"products or decided not to market our products at all, our ability to bring our products to market would be impacted and we would be materially adversely affect"
16,"What cybersecurity, data breach, or cyberattack risks does the company face?",AAPL,AAPL_2025_item1a_0015,0.667,0,"the purchasing preferences and behaviors of consumers may change, the financial condition of resellers could weaken, resellers could stop distributing the Compa"
16,"What cybersecurity, data breach, or cyberattack risks does the company face?",AAPL,AAPL_2025_item1a_0016,0.304,1,"cannot provide absolute security, and losses or unauthorized access to or releases of confidential information occur and could materially adversely affect the C"
16,"What cybersecurity, data breach, or cyberattack risks does the company face?",AAPL,AAPL_2025_item1a_0017,0.11,1,"and the value of the confidential information it creates, owns, manages, stores and processes. Apple Inc. | 2025 Form 10-K | 11 As with all companies, the secur"
16,"What cybersecurity, data breach, or cyberattack risks does the company face?",AAPL,AAPL_2025_item1a_0018,0.05,0,"additional risks, including failing to obtain required regulatory approvals on a timely basis or at all, a counterparty's failure to perform or deliver as antic"
16,"What cybersecurity, data breach, or cyberattack risks does the company face?",AAPL,AAPL_2025_item1a_0003,0.04,0,", Vietnam and the European Union (""EU""), among others. In response, several countries have imposed, or threatened to impose, reciprocal tariffs on imports from "
16,"What cybersecurity, data breach, or cyberattack risks does the company face?",AAPL,AAPL_2025_item1a_0010,0.037,0,"customer expectations. The introduction of new and complex technologies, such as artificial intelligence features, can increase these and other safety risks, in"
16,"What cybersecurity, data breach, or cyberattack risks does the company face?",AAPL,AAPL_2025_item1a_0025,0.024,0,"number of federal, state and international laws relating to the collection, use, retention, protection and transfer of various types of personal data. In many c"
16,"What cybersecurity, data breach, or cyberattack risks does the company face?",AAPL,AAPL_2025_item1a_0026,0.015,0,by governmental authorities regarding the Company's compliance with these obligations. If the Company fails to adequately comply with these rules and requiremen
17,"What cybersecurity, data breach, or cyberattack risks does the company face?",TSLA,TSLA_2025_item1a_0021,0.883,1,"potentially vulnerable to malware, ransomware, viruses, denial-of-service attacks, phishing attacks, social engineering, computer hacking, unauthorized access, "
17,"What cybersecurity, data breach, or cyberattack risks does the company face?",TSLA,TSLA_2025_item1a_0037,0.091,0,"of personal information collected from individuals located in the European Union requiring certain data protection measures when handling, with a significant ri"
17,"What cybersecurity, data breach, or cyberattack risks does the company face?",TSLA,TSLA_2025_item1a_0020,0.09,0,closely align their incentives with the long-term interests of our shareholders. We periodically seek and obtain approval from our shareholders for future incre
17,"What cybersecurity, data breach, or cyberattack risks does the company face?",TSLA,TSLA_2025_item1a_0000,0.089,0,"ITEM 1A. RISK FACTORS You should carefully consider the risks described below together with the other information set forth in this report, which could material"
17,"What cybersecurity, data breach, or cyberattack risks does the company face?",TSLA,TSLA_2025_item1a_0038,0.012,1,of sensitive data or other commercially unfavorable terms. Notwithstanding our efforts to protect the security and integrity of our customers' personal informat
17,"What cybersecurity, data breach, or cyberattack risks does the company face?",TSLA,TSLA_2025_item1a_0023,0.011,1,"internal control over financial reporting, which may impact our ability to certify our financial results. Moreover, our proprietary information, including intel"
17,"What cybersecurity, data breach, or cyberattack risks does the company face?",TSLA,TSLA_2025_item1a_0022,0.007,1,"is limited, and, in any event, malicious third parties may be able to circumvent those security measures. Further, the implementation, maintenance, segregation "
17,"What cybersecurity, data breach, or cyberattack risks does the company face?",TSLA,TSLA_2025_item1a_0015,0.004,0,"may be required to defend or insure against product liability claims. The automobile industry generally experiences significant product liability claims, and as"
18,"What cybersecurity, data breach, or cyberattack risks does the company face?",NVDA,NVDA_2025_item1a_0021,0.944,1,"limited if our backups have been affected by the attack, or if restore from backups is delayed or not feasible. Individuals, groups of hackers and sophisticated"
18,"What cybersecurity, data breach, or cyberattack risks does the company face?",NVDA,NVDA_2025_item1a_0020,0.695,1,"disasters, acts of war or other military actions, terrorism, public health issues, restrictions on international trade, such as tariffs, sanctions, and other co"
18,"What cybersecurity, data breach, or cyberattack risks does the company face?",NVDA,NVDA_2025_item1a_0055,0.29,0,"a result, the value of our investment in research and development, product development and marketing could be reduced. We also may face risks to our IP if our e"
18,"What cybersecurity, data breach, or cyberattack risks does the company face?",NVDA,NVDA_2025_item1a_0026,0.08,1,", logistics, or other operations are disrupted for any reason, including natural disasters, high heat events, water shortages, power shortages, information tech"
18,"What cybersecurity, data breach, or cyberattack risks does the company face?",NVDA,NVDA_2025_item1a_0022,0.072,1,"supply chains have not been compromised or that they do not contain exploitable vulnerabilities, defects or bugs that could result in a breach of or disruption "
18,"What cybersecurity, data breach, or cyberattack risks does the company face?",NVDA,NVDA_2025_item1a_0024,0.029,1,"services, and other similar harms. Inability to fulfill orders, delayed sales, lower margins or lost customers as a result of these disruptions could adversely "
18,"What cybersecurity, data breach, or cyberattack risks does the company face?",NVDA,NVDA_2025_item1a_0023,0.022,1,government regulations. While we invest in training programs and security awareness initiatives and take steps to detect and remediate certain vulnerabilities t
18,"What cybersecurity, data breach, or cyberattack risks does the company face?",NVDA,NVDA_2025_item1a_0036,0.019,0,"our expectations or the expectations of our investors or security analysts is likely to cause our stock price to decline, as it has in the past, or substantial "
19,"What cybersecurity, data breach, or cyberattack risks does the company face?",AMZN,AMZN_2025_item1a_0015,0.062,1,"expose us or our customers to a risk of loss, disclosure, or misuse of such information; adversely affect our operating results; result in litigation, liability"
19,"What cybersecurity, data breach, or cyberattack risks does the company face?",AMZN,AMZN_2025_item1a_0021,0.006,0,"companies we acquire the controls, procedures, and policies appropriate for a larger public company; • the risks associated with businesses we acquire or invest"
19,"What cybersecurity, data breach, or cyberattack risks does the company face?",AMZN,AMZN_2025_item1a_0001,0.004,0,"Industry Risks We Face Intense Competition Our businesses are rapidly evolving and intensely competitive, and we have many competitors across geographies, inclu"
